name,image,originalPrice,price,promotionId,discount,ratingScore,review,location,description,brandName,inStock
PELADN RTX3060 12G GDDR6 Graphics Card Desktop Computer Independent Graphics Card Gaming Video Card for BTC Miner,https://static-01.daraz.com.bd/p/4cc5d7ee10e0ea8d10cf31848a38a7ec.png,67474.00,47781.00,null,-29%,Not Available,0,China,[],No Brand,True
TEUCER 3X Graphics Card GPU Holder Vertical Telescopic Rotating Stand Bracket Magnetic GPU Video Card Holder VC-15 Mini White,https://static-01.daraz.com.bd/p/df7e6a594d03c65f0c1724a9998e3277.png,2194.00,1445.00,null,-34%,Not Available,0,China,[],No Brand,True
Yeston RTX3060TI-8G D6 GA Miner Graphics Card 8G/256Bit/GDDR6 14Gbps 1410/1665MHz PCI-E 4.0 X16 Graphics Card for BTC/ETH Mining,https://static-01.daraz.com.bd/p/056483a895c2332da0d8a4f625a6de50.png,146114.00,81628.00,null,-44%,Not Available,0,China,[],No Brand,True
5X PCI-E 16X Riser Card 90 Degree Pci-E Pci-Express 16X Right Angle Extender Protector Riser Adapter Card,https://static-01.daraz.com.bd/p/c746336774c28dac286dc19ec63da9a1.png,2016.00,1258.00,null,-38%,Not Available,0,China,[],No Brand,True
20 Pcs Hard Steel Dust Filter Blanking Plate PCI Slot Cover W Screws,https://static-01.daraz.com.bd/p/d37c832609161d30c60a669c3e0c8268.jpg,1101.00,722.00,null,-34%,Not Available,0,China,[],No Brand,True
3X VGA Virtual Display Adapter HDMI DDC EDID Dummy Plug Ghost Display Emulator Lock Plate 1920X1080 New Generation@60Hz,https://static-01.daraz.com.bd/p/96f5f7c8faf66518928941feac8176e7.jpg,942.00,625.00,null,-34%,Not Available,0,China,[],No Brand,True
PELADN GTX 1060 Super 6G Graphics Card Desktop Computer Independent Graphics Card Gaming Video Card for BTC Miner Rig,https://static-01.daraz.com.bd/p/765719643b8328502d067f5e2518a645.jpg,62913.00,32879.00,null,-48%,Not Available,0,China,[],No Brand,False
10X Mini PCIe To PCI Express 16X Riser for Laptop External Graphics Card EXP GDC BTC Miner MPCIe To PCI-E Slot Card,https://static-01.daraz.com.bd/p/b75508888cea6f814781ac718f277ff0.png,8721.00,5779.00,null,-34%,Not Available,0,China,[],No Brand,True
5V ARGB Sync Abyss Effect Computer Video Card Holder B,https://static-01.daraz.com.bd/p/aae397c5c96542fddf1b988a2aa42f68.png,3141.00,1837.00,null,-42%,Not Available,0,China,[],No Brand,True
PCIE Riser PCI-E 1 to 6 Riser Card PCI Express ​For Video Card 0.6,https://static-01.daraz.com.bd/p/71ac12f82ff8ce2d97800aafd919660c.jpg,5092.00,2638.00,null,-48%,Not Available,0,China,[],No Brand,True
2X 4K Displayport Dummy Plug DP Virtual Display Adapter EDID Headless Ghost Emulator Graphics Video Card Cheater,https://static-01.daraz.com.bd/p/218e446a97d13a0eda319b1a3853711d.jpg,949.00,631.00,null,-34%,Not Available,0,China,[],No Brand,True
"Adjustable Video Card AURA SYNC Graphics Video Card Holder,Black",https://static-01.daraz.com.bd/p/08b81e0aca27c7fe762e4bec31166d6c.png,2066.00,1476.00,null,-29%,Not Available,0,China,[],No Brand,True
Graphics Card GPU Holder Mount Adjustable-L,https://static-01.daraz.com.bd/p/3f4f1b87c2ba6b94bcc9f1d72664d649.jpg,735.00,486.00,null,-34%,Not Available,0,China,[],No Brand,True
"Adjustable Video Card AURA SYNC Graphics Video Card Holder,White",https://static-01.daraz.com.bd/p/dac58d51bba26a8f7f59d45cfcbf227d.jpg,2100.00,1500.00,null,-29%,Not Available,0,China,[],No Brand,True
4X 4K Displayport Dummy Plug DP Virtual Display Adapter EDID Headless Ghost Emulator Graphics Video Card Cheater,https://static-01.daraz.com.bd/p/67ce978c9e7662b4db44405eb7624df9.png,1572.00,1045.00,null,-34%,Not Available,0,China,[],No Brand,True
95Mm CF1015H12D DC12V Video Card Cooler Cooling Fan Replace for Sapphire NITRO RX480 8G RX 470 4G GDDR5 RX570 4G / 8G D5 RX580 8G,https://static-01.daraz.com.bd/p/721db2a9afa06fbc7cdc67d9779b1b22.jpg,1560.00,570.00,null,-63%,Not Available,0,China,['Cooler for Video Card'],No Brand,True
"1Set Suction Bracket Chassis Fan Graphics Card Fixed Support Frame Portable ,Black 1",https://static-01.daraz.com.bd/p/b906b953d6cafff8cd05b15235be101f.png,1885.00,1347.00,null,-29%,Not Available,0,China,[],No Brand,True
