name,image,originalPrice,price,promotionId,discount,ratingScore,review,location,description,brandName,inStock
2X A Dual 4-Pin Molex IDE to 6 Pin PCI-E Graphic Card Connector Cable Adapter,https://static-01.daraz.com.bd/p/1302890d1708aeef284098cf16aab4dd.jpg,660.00,355.00,null,-46%,Not Available,0,China,[],No Brand,True
ASUS GEFORCE GT 710 2GB DDR5 Graphics Card,https://static-01.daraz.com.bd/p/12e791b4c99c3bc8c6a102f49359a76d.jpg,7500.00,6500.00,null,-13%,Not Available,0,Bangladesh,[],ASUS,True
12+4Pin 12VHPWR to 4Pcs PCi-E GPU 8Pin Graphics Video Card Extension Cord for RTX3090Ti Power Supply Adapter 30cm,https://static-01.daraz.com.bd/p/1448f2eef7923bcae858f9a98c0ae852.png,1694.00,1129.00,null,-33%,Not Available,0,China,[],No Brand,True
"GT210 1G D2 64BIT Image Card, Dual-Screen Bright Image Card Supports Large and Small Chassis/All-In-One/Desktop",https://static-01.daraz.com.bd/p/8026c1f6dfc2a692d45696d4bd7301b3.jpg,4491.00,2994.00,null,-33%,Not Available,0,China,[],No Brand,True
GTS450 1GB GDDR5 Desktop Computer HD Game Graphics Card Computer PC Gaming Video VGA+DVI 128Bit Graphics Card,https://static-01.daraz.com.bd/p/1fa33c1d782de9a6ff426e1c19e348e5.jpg,6593.00,6593.00,null,Not Available,Not Available,0,China,[],No Brand,True
1 Piece GT730 4GB DDR3 Graphics Card PCI-E 2.0 16X DVI+VGA HDMI-Compatible Video Card 128 Bit 40Nm,https://static-01.daraz.com.bd/p/edadec696a93581ffe29ffb9b24deae0.png,4708.00,4708.00,null,Not Available,Not Available,0,China,[],No Brand,True
87MM PLA09215S12H RTX2060 GTX 1660 SUPER 1660Ti MINI ITX OC for GIGABYTE GeForce RTX 2060 RTX 2070 Graphics card fan,https://static-01.daraz.com.bd/p/e9ba60db1e9e72861f0b6e8548c5a00a.jpg,3113.00,2594.00,null,-17%,Not Available,0,China,[],No Brand,True
GTX650 Graphics Card 2GB DDR5 128Bit PCIE 2.0 Desktop Gaming,https://static-01.daraz.com.bd/p/a9a03881f7d54c5967082a7c0f3bd303.jpg,19747.00,10394.00,null,-47%,Not Available,0,China,[],No Brand,True
ASUS GeForce GT 730 2GB GDDR5 Graphics #GT730-SL-2GD5-BRK,https://static-01.daraz.com.bd/p/a9ffedfdd46f216dcc8b98485a19bae9.jpg,9500.00,9220.00,null,-3%,Not Available,0,Bangladesh,"['Brand: ASUS', 'Model: GT730', 'Graphics Chipset: NVIDIA GeForce GT 730', 'Memory Size: 2GB', 'Engine Clock: OC mode: 732 MHz, Gaming mode: 706 MHz', 'Memory Type: GDDR5', 'Memory Clock: 5010 MHz', 'Memory Bus (Bit): 64-bit', 'Recommended PowerSupply: 300W', 'Resolution: Digital Max Resolution 3840 x 2160', 'Interface (PCI Express): PCI Express 2.0', 'DirectX: 11', 'Ports: Yes x 1 (Native DVI-D) Yes x 1 (D-Sub) Yes x 1 (Native HDMI 1.4a) HDCP Support Yes (2.2)', 'Multi Display: 3', 'OpenGL: 4.6', 'Dimensions: 167 x 69 x 17 mm']",ASUS,True
PELADN RX 550 4GB Graphics Card Desktop Computer Independent Graphics Card Gaming Video Card for BTC Miner Rig,https://static-01.daraz.com.bd/p/58c6fc7c1b8e2017b11ecfc6fc84bb4d.jpg,20000.00,12000.00,null,-40%,Not Available,0,Bangladesh,"['Product Category: Desktop Graphics Cards', 'Application: Desktop', 'Output Interface Type: DP+DVI+HDMI', 'Memory Clock(Mhz): 7000MHz']",No Brand,True
