brand,title,stock_status,product_price,cash_discount_price,emi_price,processor,webcam,warranty,url
Gigabyte,Gigabyte Aorus 5 SE4 15.6 Full HD 144Hz Display Core I7 12th Gen 16GB RAM 512GB SSD Gaming Laptop With RTX 3070 8GB Graphics,Out Of Stock,,Not Available,Not Available,12th Gen Intel Core i7-12700H (2.3GHz~4.7GHz) ,HD Webcam ,2 Years,https://www.techlandbd.com/gigabyte-aorus-5-se4-gaming-laptop
Acer,Acer Aspire A515 45 15.6 inch FHD Display Ryzen 5 5500U 8GB RAM 512GB SSD Laptop,,,Not Available,Not Available,"AMD Ryzen 5 5500U Processor (8M Cache, 2.1GHz up to 4.0GHz, 6 cores)
","1280 x 720 resolution, 720p HD audio/video recording
",02 Years Warranty (Adapter 1 year)),https://www.techlandbd.com/acer-aspire-a515-45-laptop
Asus,ASUS TUF Dash F15 FX516PE 15.6 inch Full HD 144Hz Display Core i5 11th Gen 8GB RAM 512GB SSD Gaming Laptop with 3050TI 4GB Graphics (Eclipse Grey),Out Of Stock,,Not Available,Not Available,"Intel Core i5-11300H Processor (8M Cache, 3.10 GHz up to 4.40 GHz, with IPU)
",NO,02 Year International Limited Warranty (Terms & condition Apply As Per Asus),https://www.techlandbd.com/asus-tuf-dash-f15-fx516pe-i5-grey-laptop
Lenovo,Lenovo Ideapad Slim 5 14 inch Full HD Display Ryzen 7 5700U 16GB RAM 512GB SSD Laptop (3 years Warranty),Out Of Stock,,Not Available,Not Available,"AMD Ryzen7 5700U Processor (8 Cores / 16 Threads, 1.80 GHz, up to 4.30 GHz with Max Boost, 4 MB Cache L2 / 8 MB Cache L3)
","720 HD webcam with privacy shutter
",3 Year International ,https://www.techlandbd.com/lenovo-ideapad-slim-5-ryzen-7-laptop
HP,HP 15-DY2091 15.6 inch HD Display Core i3 11th Gen 8GB RAM 256GB SSD Laptop,Up Coming,,Not Available,Not Available,"Intel Core i3-1115G4 (up to 4.1 GHz with Intel Turbo Boost Technology, 6 MB L3 cache, 2 cores)
","HP True Vision 720p HD camera with integrated dual array digital microphones
","2 years International Limited Warranty (Terms & condition Apply As Per HP)
",https://www.techlandbd.com/hp-15-dy2091-laptop
Asus,ASUS VIVOBOOK 15 M513UA 15.6 INCH FHD RYZEN 7 5700U 8GB RAM 512GB SSD LAPTOP WITH RADEON GRAPHICS,Out Of Stock,,Not Available,Not Available,"AMD Ryzen 7 5700U (1.80GHZ, UP TO 4.30GHZ, 8MB L3 CACHE,Threads-16, Cores-8)
","HD Smart WebCam
",2 Years international Warranty ( Battery and Adapter 01 Year ),https://www.techlandbd.com/asus-vivobook-15-m513ua-ryzen7-laptop
Lenovo,LENOVO IDEAPAD 3 15IIL05 INTEL I3 10TH GEN 15.6 INCH FULL HD DISPLAY 8GB RAM 512GB SSD LAPTOP (3 years Warranty),Out Of Stock,,Not Available,Not Available,"Intel Core i3-1005G1 (2C / 4T, 1.2 / 3.4GHz, 4MB)
","720p with Privacy Shutter
",3 years,https://www.techlandbd.com/lenovo-ideapad-3-15iil05-i3-laptop
HP,HP PAVILION 15-a0024tx 16.1-inch Full HD Display CORE I7 10TH GEN 16GB RAM 1TB HDD 256GB SSD GAMING Laptop With NVIDIA GeForce GTX 1650Ti 4GB Graphics,Out Of Stock,,Not Available,Not Available,"Intel Core i7-10750H (2.6 GHz base frequency, up to 5 GHz with Intel Turbo Boost Technology, 12 MB L3 cache, 6 cores)","HP Wide Vision HD Camera with integrated dual array digital microphone
","2 years International Limited Warranty (Terms & condition Apply As Per HP)
",https://www.techlandbd.com/hp-pavilion-16-a0024tx-gaming-laptop
MSI,MSI TITAN GT77 12UHS-007 17.3 inch UHD 120Hz Display Core i9 12th Gen 64GB DDR5 RAM 2TB SSD gaming Laptop with RTX 3080 Ti 16GB Graphics,Out Of Stock,,Not Available,Not Available,"Intel Core i9-12900HX Processor 30M Cache, up to 5.00 GHz","1080p FHD Smart Webcam
","2-years international warranty
",https://www.techlandbd.com/msi-titan-gt77-12uhs-007-gaming-laptop
Lenovo,LENOVO IDEAPAD 5 PRO 16ACH6 16 INCH IPS DISPLAY RYZEN 5 5600H 16GB RAM 512GB SSD LAPTOP,Out Of Stock,,Not Available,Not Available,"AMD Ryzen 5 5600H (6C / 12T, 3.3 / 4.2GHz, 3MB L2 / 16MB L3)
","IR & 720p + ToF Sensor
",3 years,https://www.techlandbd.com/lenovo-ideapad-5-pro-16ach6-ryzen-5-laptop
