title,href,processor_Type,RAM,Proc_Generation,Display
HP 250 G8 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Silver Laptop #5C123PA-3Y,https://www.ryanscomputers.com/hp-250-g8-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-display-silver-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Acer Aspire 3 A315-59 12th Gen Intel Core i3  15.6 Inch FHD Display Pure Silver Laptop #NX.K6TSI.001,https://www.ryanscomputers.com/acer-aspire-3-a315-59-12th-gen-intel-core-i3-15.6-inch-fhd-display-pure-silver-laptop-nx.k6tsi.001,Processor Type. - Core i3,RAM - 8GB,Generation - 12th (Intel),Display Size (Inch) - 15.6
Asus X515JA Intel Core i5 1035G1 4GB DDR4 15.6 Inch FHD Display Slate Grey Laptop #BQ3552W-X515JA,https://www.ryanscomputers.com/asus-x515ja-intel-core-i5-1035g1-4gb-ddr4-15.6-inch-fhd-display-slate-grey-laptop,Processor Type. - Core i5,RAM - 4GB,Generation - 10th (Intel),Display Size (Inch) - 15.6
Huawei MateBook D 15 11th Gen Intel Core i3 1115G4 15.6 Inch FHD Display Silver Laptop,https://www.ryanscomputers.com/huawei-matebook-d-15-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-display-silver-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Asus X515EA Intel Core i3 1115G4 15.6 Inch FHD WV Display Peacock Blue Laptop #BQ2224W-X515EA,https://www.ryanscomputers.com/asus-x515ea-15.6-inch-peacock-blue-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 15.6 Inch FHD Display Abyss Blue Laptop #82H802MXIN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15itl6-core-i3-1115g4-15.6-inch-fhd-display-abyss-blue-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Lenovo IdeaPad Slim 3i 14ITL6 11th Gen Intel Core i3 1115G4 14 Inch FHD Antiglare Display Arctic Grey Laptop #82H701KCIN-2Y,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-14itl6-11th-gen-intel-core-i3-1115g4-14-inch-fhd-antiglare-display-arctic-grey-laptop-82h701kcin-2y,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 14
Asus ExpertBook B1 B1400CEAE 11th Gen Intel Core i3 1115G4 14 Inch FHD Display Star Black Laptop #EB5007,https://www.ryanscomputers.com/asus-expertbook-b1-b1400ceae-11th-gen-intel-core-i3-1115g4-14-inch-fhd-display-star-black-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 14
Asus VivoBook 15 X1500EA 11th Gen Intel Core i3 8GB DDR4 15.6 Inch Display Indie Black Laptop #BQ2461W-X1500EA,https://www.ryanscomputers.com/asus-vivobook-15-x1500ea-11th-gen-intel-core-i3-8gb-ddr4-15.6-inch-display-indie-black-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Asus VivoBook 15 X1500EA Intel Core i3 1115G4 1TB HDD 15.6 Inch FHD WV Display Indie Black Laptop #BQ2456W-X1500EA,https://www.ryanscomputers.com/asus-vivobook-15-x1500ea-intel-core-i3-1115g4-1tb-hdd-15.6-inch-fhd-wv-display-indie-black-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Asus VivoBook 14 X1400EA Intel Core i3 1115G4 14 Inch FHD WV Display Black Laptop #EB1582W-X1400EA,https://www.ryanscomputers.com/asus-vivobook-14-x1400ea-intel-core-i3-1115g4-14-inch-black-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 11th (Intel),Display Size (Inch) - 14
HP 15s-fq5487TU Intel Core i3 1215U 15.6 Inch FHD Display Silver Laptop #6F960PA-2Y,https://www.ryanscomputers.com/hp-15s-fq5487tu-intel-core-i3-1215u-15.6-inch-silver-laptop,Processor Type. - Core i3,RAM - 8GB,Generation - 12th (Intel),Display Size (Inch) - 15.6
Asus VivoBook 15 X1502ZA Intel Core i3 1215U 15.6 Inch FHD Display Terra Cotta Laptop #X1502ZA-EJ675W,https://www.ryanscomputers.com/asus-vivobook-15-x1502za-intel-core-i3-1215u-15.6-inch-fhd-display-terra-cotta-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 12th (Intel),Display Size (Inch) - 15.6
Asus ExpertBook B1 B1400CEAE Intel Core i3 1115G4 14 Inch FHD Display Star Black Laptop #EK5222,https://www.ryanscomputers.com/asus-expertbook-b1-b1400ceae-intel-core-i3-1115g4-14-inch-fhd-display-star-black-laptop-ek5222,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 14
Asus ExpertBook B1 B1500CEAE 11th Gen Intel Core i3 1115G4 15.6 Inch FHD LED Display Star Black Laptop #EJ3327,https://www.ryanscomputers.com/asus-expertbook-b1-b1500ceae-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-led-display-star-black-laptop,Processor Type. - Core i3,RAM - 4GB,Generation - 11th (Intel),Display Size (Inch) - 15.6
Acer Aspire 3 A315-24P-R77Z AMD Ryzen 5 7520U 15.6 Inch FHD Display Pure Silver Laptop #NX.KDESI.004,https://www.ryanscomputers.com/acer-aspire-3-a315-24p-r77z-amd-ryzen-5-7520u-15.6-inch-fhd-display-pure-silver-laptop,Processor Type. - Ryzen 5,RAM - 8GB,Generation - Not Applicable,Display Size (Inch) - 15.6
