titles,availability,originalPrices,discounts,discountPrices
Duranta Recoils Gents Bicycle  Black 20ï¿½,Out of stock,"9,160.00",Not Available,"9,160.00"
Duranta Dulki Ladies Bicycle 20ï¿½ Steel Mudguard,Out of stock,"7,815.00",Not Available,"7,815.00"
"Duranta Daisy Girls Bicycle 20"" Steel Mudguard",Out of stock,"7,940.00",Not Available,"7,940.00"
"Duranta CB Energy Multi Spd 24"" Blue W/O Bottole",Out of stock,"10,245.00",Not Available,"10,245.00"
"Duranta Muscular 24"" Black Gents",Out of stock,"12,275.00",Not Available,"12,275.00"
"Duranta Zenith 20"" Red",Out of stock,"6,150.00",Not Available,"6,150.00"
"Duranta Daisy Girls  Light Pink Bicycle 20""",Out of stock,"6,405.00",Not Available,"6,405.00"
"Duranta Extreme Boys Bicycle 20"" Steel Mudguard",Out of stock,"8,455.00",Not Available,"8,455.00"
"Duranta CB Racer Masti Green Gents Single Car 26""",Out of stock,"9,095.00",Not Available,"9,095.00"
"Duranta Prim 14"" Kids Blue",Out of stock,"5,445.00",Not Available,"5,445.00"
"Duranta Prim 14"" Kids Green",Out of stock,"6,020.00",Not Available,"6,020.00"
"Duranta CB Racer Masti Red Gents  Single Car 26""",Out of stock,"9,095.00",Not Available,"9,095.00"
"Duranta Shiva 16"" Kids Blue",Out of stock,"7,110.00",Not Available,"7,110.00"
"Duranta Dictator 16"" Kids",Out of stock,"6,405.00",Not Available,"6,405.00"
"Duranta Allan Hunter 26"" Gents Flat Bike",Out of stock,"21,070.00",Not Available,"21,070.00"
"Duranta Allan Plus-26"" Red",Out of stock,"9,990.00",Not Available,"9,990.00"
"Duranta Recoil Ultimate 26"" Black",Out of stock,"9,480.00",Not Available,"9,480.00"
"Duranta Supreme 26"" Gray Gents",Out of stock,"13,365.00",Not Available,"13,365.00"
"Duranta Knight Victor Bicycle Black 26""",Out of stock,"8,964.00",Not Available,"8,964.00"
"Duranta Durjoy Double bar  26""",Out of stock,"10,700.00",Not Available,"10,700.00"
"Duranta Allan Ultimate 26"" Black Gents",Out of stock,"13,705.00",Not Available,"13,705.00"
Bicycle Phoenix MP 20 inch Ladies 888275,Out of stock,325.00,Not Available,325.00
"Duranta Steel 1-Spd Durjoy Ladies 26"" 804465",Out of stock,"9,270.00",Not Available,"9,270.00"
Duranta Super Trike Tricycle Mixed 806669,Out of stock,"3,537.00",Not Available,"3,537.00"
Duranta Nora Pink Tricycle 847138,Out of stock,"2,000.00",Not Available,"2,000.00"
Duranta Scorpion Plus MTB Adult Bike 847145 [CLONE],Out of stock,"13,365.00",Not Available,"13,365.00"
Duranta Bicycle 26â 847558,Out of stock,"9,690.00",Not Available,"9,690.00"
"Duranta CB Gravity 26"" Multi Speed Green 804960",Out of stock,"12,550.00",Not Available,"12,550.00"
"Duranta CB Extreme Boys Bicycle 20"" X300 Blue 804316",Out of stock,"8,455.00",Not Available,"8,455.00"
Duranta Steel 1-Spd Camellia 20 Pink,Out of stock,"8,460.00",Not Available,"8,460.00"
Duranta Avenger Premier Green 26 Inch Bicycle 847288,Out of stock,"11,525.00",Not Available,"11,525.00"
Duranta Allan Scorpion Plus 26 Inch Bicycle 847494,Out of stock,"12,000.00",Not Available,"12,000.00"
Duranta Recoil Premier 26 Inch Bicycle 847287,Out of stock,"12,550.00",Not Available,"12,550.00"
Duranta Allan Wrestler 26 Inch Gents 21 Speed Blue 847203,Out of stock,"13,385.00",Not Available,"13,385.00"
Duranta Steel 1-Spd Ryan Plus 16 Green,Out of stock,"7,110.00",Not Available,"7,110.00"
Duranta Spaark 16 Inch Bicycle- 847670,Out of stock,"6,915.00",Not Available,"6,915.00"
Duranta Rider Red Bicycle 24 Inch- 85473,Out of stock,"9,220.00",Not Available,"9,220.00"
Duranta Steel 1 Spd Royal 1 Bar 28 Black- 847158,Out of stock,"9,605.00",Not Available,"9,605.00"
Duranta Steel 21-Spd Supreme 26 Green 804495,Out of stock,"13,365.00",Not Available,"13,365.00"
"20"" Duranta Rayan Single Speed- 847734",Out of stock,"8,050.00",Not Available,"8,050.00"
BIXO  Steel 1-Speed 14'' DX-14.10 Pink- 847550,Out of stock,"6,150.00",Not Available,"6,150.00"
"Duranta Steel 1-Spd Rayan 20"" Yellow- 847735",Out of stock,"8,050.00",Not Available,"8,050.00"
Duranta Supreme Green Bicycle 24 Inch,Out of stock,"11,460.00",Not Available,"11,460.00"
Duranta Scorpion Plus Blue Bicycle 24 Inch,Out of stock,"11,460.00",Not Available,"11,460.00"
Duranta Scorpion Plus Green Bicycle 24 Inch,Out of stock,"11,460.00",Not Available,"11,460.00"
Duranta Steel 1-Spd Glister 14 Green,Out of stock,"6,275.00",Not Available,"6,275.00"
Duranta Nemo T-01 Tricycle,Out of stock,"2,805.00",Not Available,"2,805.00"
"Duranta CB Avenger Disc Brake-26"" Black",Out of stock,"11,245.00",Not Available,"11,245.00"
Duranta Recoils Gents Bicycle Red 26â,Out of stock,"10,629.00",Not Available,"10,629.00"
"Duranta Synergy Ladies  Single Speed 26"" Bicycle",Out of stock,"9,930.00",Not Available,"9,930.00"
Duranta Predator 22 Ds001 26 Inch Bicycle,Out of stock,"12,550.00",Not Available,"12,550.00"
Duranta Alloy 21-Spd Allan Spinner 26 Blue,Out of stock,"13,385.00",Not Available,"13,385.00"
"Duranta CB MTB26 Xavier 26"" R-1902 Green",Out of stock,"18,510.00",Not Available,"18,510.00"
Duranta CB Allan Primo 26 Yellow,Out of stock,"13,960.00",Not Available,"13,960.00"
"Duranta Allan Ultimate 24"" Gents Gray",Out of stock,"12,550.00",Not Available,"12,550.00"
Duranta Steel 1 Spd Scool M-20.01 Orange,Out of stock,"9,415.00",Not Available,"9,415.00"
Duranta Steel 1-Speed Muscular Premier 24 Blue,Out of stock,"8,455.00",Not Available,"8,455.00"
Duranta Cb Synergy S-Spd L-26 Inch-Pink-W/Basket,Out of stock,"9,930.00",Not Available,"9,930.00"
Duranta Alloy 21-Spd Allan Ultimate Plus 26 Blue,Out of stock,"15,000.00",Not Available,"15,000.00"
"Duranta Steel 1-Spd Extreme 20"" Brazil Edition",Out of stock,"8,455.00",Not Available,"8,455.00"
"Duranta Steel 1-Spd Extreme 20"" Argentina Edition",Out of stock,"8,455.00",Not Available,"8,455.00"
"Duranta Junior Ryan 16"" Bicycle",Out of stock,"7,580.00",Not Available,"7,580.00"
"Duranta Glitter- 14"" Bicycle",Out of stock,"6,150.00",Not Available,"6,150.00"
