originalPrices,discounts,titles,regularPrices
"13,705.00",Not Available,"Duranta Allan Ultimate 26"" Black Gents","13,705.00"
325.00,Not Available,Bicycle Phoenix MP 20 inch Ladies 888275,325.00
"9,270.00",Not Available,"Duranta Steel 1-Spd Durjoy Ladies 26"" 804465","9,270.00"
"3,537.00",Not Available,Duranta Super Trike Tricycle Mixed 806669,"3,537.00"
"2,000.00",Not Available,Duranta Nora Pink Tricycle 847138,"2,000.00"
"13,365.00",Not Available,Duranta Scorpion Plus MTB Adult Bike 847145 [CLONE],"13,365.00"
"9,690.00",Not Available,Duranta Bicycle 26â 847558,"9,690.00"
"12,550.00",Not Available,"Duranta CB Gravity 26"" Multi Speed Green 804960","12,550.00"
"8,455.00",Not Available,"Duranta CB Extreme Boys Bicycle 20"" X300 Blue 804316","8,455.00"
"8,460.00",Not Available,Duranta Steel 1-Spd Camellia 20 Pink,"8,460.00"
"11,525.00",Not Available,Duranta Avenger Premier Green 26 Inch Bicycle 847288,"11,525.00"
"12,000.00",Not Available,Duranta Allan Scorpion Plus 26 Inch Bicycle 847494,"12,000.00"
"12,550.00",Not Available,Duranta Recoil Premier 26 Inch Bicycle 847287,"12,550.00"
"13,385.00",Not Available,Duranta Allan Wrestler 26 Inch Gents 21 Speed Blue 847203,"13,385.00"
"7,110.00",Not Available,Duranta Steel 1-Spd Ryan Plus 16 Green,"7,110.00"
"6,915.00",Not Available,Duranta Spaark 16 Inch Bicycle- 847670,"6,915.00"
"9,220.00",Not Available,Duranta Rider Red Bicycle 24 Inch- 85473,"9,220.00"
"9,605.00",Not Available,Duranta Steel 1 Spd Royal 1 Bar 28 Black- 847158,"9,605.00"
"13,365.00",Not Available,Duranta Steel 21-Spd Supreme 26 Green 804495,"13,365.00"
"8,050.00",Not Available,"20"" Duranta Rayan Single Speed- 847734","8,050.00"
"6,150.00",Not Available,BIXO  Steel 1-Speed 14'' DX-14.10 Pink- 847550,"6,150.00"
"8,050.00",Not Available,"Duranta Steel 1-Spd Rayan 20"" Yellow- 847735","8,050.00"
"11,460.00",Not Available,Duranta Supreme Green Bicycle 24 Inch,"11,460.00"
"11,460.00",Not Available,Duranta Scorpion Plus Blue Bicycle 24 Inch,"11,460.00"
"11,460.00",Not Available,Duranta Scorpion Plus Green Bicycle 24 Inch,"11,460.00"
"6,275.00",Not Available,Duranta Steel 1-Spd Glister 14 Green,"6,275.00"
"2,805.00",Not Available,Duranta Nemo T-01 Tricycle,"2,805.00"
"11,245.00",Not Available,"Duranta CB Avenger Disc Brake-26"" Black","11,245.00"
"10,629.00",Not Available,Duranta Recoils Gents Bicycle Red 26â,"10,629.00"
"9,930.00",Not Available,"Duranta Synergy Ladies  Single Speed 26"" Bicycle","9,930.00"
"12,550.00",Not Available,Duranta Predator 22 Ds001 26 Inch Bicycle,"12,550.00"
"13,385.00",Not Available,Duranta Alloy 21-Spd Allan Spinner 26 Blue,"13,385.00"
"18,510.00",Not Available,"Duranta CB MTB26 Xavier 26"" R-1902 Green","18,510.00"
"13,960.00",Not Available,Duranta CB Allan Primo 26 Yellow,"13,960.00"
"12,550.00",Not Available,"Duranta Allan Ultimate 24"" Gents Gray","12,550.00"
"9,415.00",Not Available,Duranta Steel 1 Spd Scool M-20.01 Orange,"9,415.00"
"8,455.00",Not Available,Duranta Steel 1-Speed Muscular Premier 24 Blue,"8,455.00"
"9,930.00",Not Available,Duranta Cb Synergy S-Spd L-26 Inch-Pink-W/Basket,"9,930.00"
"15,000.00",Not Available,Duranta Alloy 21-Spd Allan Ultimate Plus 26 Blue,"15,000.00"
"8,455.00",Not Available,"Duranta Steel 1-Spd Extreme 20"" Brazil Edition","8,455.00"
"8,455.00",Not Available,"Duranta Steel 1-Spd Extreme 20"" Argentina Edition","8,455.00"
"7,580.00",Not Available,"Duranta Junior Ryan 16"" Bicycle","7,580.00"
"6,150.00",Not Available,"Duranta Glitter- 14"" Bicycle","6,150.00"
"6,150.00",Not Available,"Duranta CB Energy 12"" Kids Bicycle With Basket","6,150.00"
"8,905.00",Not Available,"Duranta Motobike 16"" Bicycle","8,905.00"
"6,020.00",Not Available,Duranta Steel 1-Spd Girls 12 Pink,"6,020.00"
"9,415.00",Not Available,"Duranta Steel 1-Spd Scool-M-20.01-Black,804091","9,415.00"
"9,480.00",Not Available,804414	Duranta Steel 1-Spd Master 26 Red,"9,480.00"
"6,400.00",Not Available,"Duranta Bixo 12"" Bicycle(Red)","6,400.00"
"7,110.00",Not Available,Duranta Steel 1-Spd Ryan Plus 16 Green,"7,110.00"
"6,790.00",Not Available,Duranta Steel 1-Spd Premier-M-16.02-Red,"6,790.00"
"19,390.00",Not Available,847729	Duranta Alloy 21-Spd Spaark 26M-10 CKD FS MW Grn,"19,390.00"
240.00,Not Available,	Training Wheel & Bracket-20In-D,240.00
"11,700.00",Not Available,"Duranta Predator 26"" (Multi speed) 747667","11,700.00"
